# schema_version,2
# source_job_collection_uid,lhs_loguniform_real_50_high
# source_job_collection_title,lhs_loguniform_real_50_high
# source_function_uid,
# source_function_title,lhs_loguniform_real_50_high
# source_description,Local import generated from JSON output files
source_job_uid,status,input__pair_1_current,input__pair_2_current,output__collateral_50target,output__collateral_95target,output__mean_nontarget,output__mean_target,output__selectivity_mean,output__selectivity_rms,output__strength,output__threshold_50target,output__threshold_95target
seed42_sample02,SUCCESS,0.0015702563105151057,0.0023683528415858746,7.035,3.244,0.212,0.407,1.922,2.866,0.445,0.445,0.573
seed42_sample03,SUCCESS,0.0021504240576177835,0.003300453769043088,2.995,0.549,0.177,0.453,2.565,5.252,0.489,0.489,0.651
seed42_sample04,SUCCESS,0.002067553112283349,0.003349696286022663,6.842,1.718,0.238,0.538,2.258,3.773,0.586,0.586,0.838
seed42_sample05,SUCCESS,0.0015234679449349642,0.002264717360958457,2.994,0.814,0.188,0.483,2.576,5.244,0.526,0.526,0.706
seed42_sample06,SUCCESS,0.0018249605782330036,0.002506221178919077,4.521,0.712,0.355,0.888,2.5,4.796,0.969,0.969,1.375
seed42_sample07,SUCCESS,0.002014488447457552,0.0029350474942475557,2.416,0.379,0.138,0.351,2.536,5.287,0.369,0.369,0.49
seed42_sample08,SUCCESS,0.0018343761330470443,0.0028353682719171047,5.589,1.708,0.262,0.548,2.088,3.559,0.6,0.6,0.77
seed42_sample09,SUCCESS,0.001894723391160369,0.003058343194425106,8.357,3.485,0.175,0.316,1.798,2.506,0.331,0.331,0.436
seed42_sample10,SUCCESS,0.001968284137547016,0.0031169585417956114,5.986,1.524,0.161,0.306,1.906,3.061,0.316,0.316,0.416
seed42_sample11,SUCCESS,0.0019452443812042475,0.0029209095519036055,4.53,0.899,0.143,0.327,2.288,4.193,0.347,0.347,0.463
seed42_sample12,SUCCESS,0.0015046923654153943,0.0021662097424268723,3.911,0.601,0.308,0.751,2.442,4.803,0.828,0.828,1.103
seed42_sample13,SUCCESS,0.0019184971461072564,0.0032339515164494514,11.388,4.231,0.115,0.185,1.615,2.059,0.184,0.184,0.251
seed42_sample14,SUCCESS,0.0019778471905738115,0.0029680714942514896,3.356,0.915,0.29,0.793,2.738,5.48,0.868,0.868,1.213
seed42_sample15,SUCCESS,0.0019638310186564922,0.0029650141950696707,4.993,0.998,0.242,0.579,2.389,4.385,0.634,0.634,0.856
seed42_sample16,SUCCESS,0.0019950568675994873,0.003244654042646289,3.772,0.557,0.15,0.345,2.301,4.394,0.369,0.369,0.488
seed42_sample17,SUCCESS,0.0019876838196069,0.003114155260846019,3.351,1.43,0.186,0.522,2.816,5.151,0.565,0.565,0.797
seed42_sample18,SUCCESS,0.0016038132598623633,0.0024040155112743378,6.172,1.361,0.275,0.633,2.299,3.958,0.689,0.689,1.003
seed42_sample19,SUCCESS,0.0015331283211708069,0.0023158034309744835,4.061,1.116,0.215,0.555,2.578,4.872,0.603,0.603,0.852
seed42_sample20,SUCCESS,0.002079530619084835,0.0032183958683162928,2.613,0.554,0.107,0.281,2.633,5.496,0.298,0.298,0.402
seed42_sample21,SUCCESS,0.00169491081032902,0.0025839859154075384,4.588,1.117,0.213,0.462,2.172,3.9,0.5,0.5,0.648
seed42_sample22,SUCCESS,0.0017631378723308444,0.0028641216922551394,18.195,9.593,0.123,0.164,1.336,1.151,0.169,0.169,0.228
seed42_sample23,SUCCESS,0.0019131912849843502,0.0031473920680582523,3.386,1.314,0.177,0.494,2.788,5.215,0.537,0.537,0.757
seed42_sample24,SUCCESS,0.0019142439123243093,0.0027962152380496264,3.045,0.325,0.099,0.249,2.524,5.123,0.257,0.257,0.352
seed42_sample25,SUCCESS,0.001749587245285511,0.0025469360407441854,7.544,3.356,0.261,0.516,1.972,2.905,0.565,0.565,0.736
seed42_sample26,SUCCESS,0.0014995794044807553,0.002171864965930581,4.494,1.221,0.253,0.653,2.581,4.716,0.709,0.709,1.033
seed42_sample27,SUCCESS,0.0017267073271796107,0.00277042668312788,2.443,0.714,0.181,0.469,2.591,5.452,0.51,0.51,0.674
seed42_sample28,SUCCESS,0.002073188778012991,0.003484420944005251,6.515,1.642,0.139,0.269,1.938,3.088,0.278,0.278,0.371
seed42_sample29,SUCCESS,0.0017179925926029682,0.002630124567076564,9.85,5.077,0.201,0.337,1.672,2.058,0.366,0.366,0.469
seed42_sample30,SUCCESS,0.0016821817262098193,0.002562293317168951,3.426,0.386,0.095,0.2,2.099,3.847,0.202,0.202,0.274
seed42_sample31,SUCCESS,0.002115897135809064,0.0030991816893219948,4.492,1.161,0.254,0.704,2.767,5.066,0.758,0.758,1.142
seed42_sample32,SUCCESS,0.001961085945367813,0.003292711218819022,2.867,0.908,0.128,0.347,2.706,5.497,0.373,0.373,0.511
seed42_sample33,SUCCESS,0.001806555432267487,0.0027444998268038034,2.69,1.04,0.196,0.542,2.761,5.612,0.586,0.586,0.788
seed42_sample34,SUCCESS,0.0022391751408576965,0.00343079911544919,3.043,0.867,0.248,0.668,2.687,5.471,0.729,0.729,0.986
seed42_sample35,SUCCESS,0.001515459967777133,0.0022576043847948313,2.392,0.575,0.158,0.402,2.541,5.357,0.434,0.434,0.57
seed42_sample36,SUCCESS,0.0014448912115767598,0.0021124016493558884,2.565,0.618,0.089,0.224,2.526,5.219,0.235,0.235,0.318
seed42_sample37,SUCCESS,0.0017158897826448083,0.0025350027717649937,6.737,2.688,0.219,0.459,2.096,3.296,0.5,0.5,0.653
seed42_sample38,SUCCESS,0.0017554808873683214,0.0027779042720794678,3.6,0.608,0.175,0.388,2.216,4.203,0.418,0.418,0.542
seed42_sample39,SUCCESS,0.0017700653988867998,0.002916651777923107,5.279,0.911,0.086,0.168,1.965,3.32,0.168,0.168,0.231
seed42_sample40,SUCCESS,0.00162749201990664,0.0024396732915192842,2.781,1.169,0.155,0.44,2.842,5.675,0.469,0.469,0.634
seed42_sample41,SUCCESS,0.001853730296716094,0.0030363660771399736,2.494,0.596,0.184,0.47,2.561,5.38,0.51,0.51,0.672
seed42_sample42,SUCCESS,0.0017389499116688967,0.002802422037348151,5.103,1.023,0.09,0.186,2.071,3.581,0.19,0.19,0.259
seed42_sample43,SUCCESS,0.0018038749694824219,0.0026696554850786924,3.552,0.438,0.109,0.261,2.391,4.636,0.273,0.273,0.369
seed42_sample44,SUCCESS,0.0019003512570634484,0.0029204506427049637,3.997,0.827,0.221,0.582,2.639,5.133,0.632,0.632,0.89
seed42_sample45,SUCCESS,0.001918242429383099,0.002860431093722582,2.722,1.048,0.179,0.506,2.836,5.779,0.545,0.545,0.734
seed42_sample46,SUCCESS,0.0016768118366599083,0.0025702649727463722,5.306,1.43,0.122,0.246,2.008,3.379,0.258,0.258,0.339
seed42_sample47,SUCCESS,0.002219755668193102,0.0034314438235014677,7.437,2.795,0.19,0.368,1.933,2.918,0.392,0.392,0.507
seed42_sample48,SUCCESS,0.0015608046669512987,0.0022520858328789473,13.234,5.895,0.15,0.237,1.58,1.769,0.238,0.238,0.321
seed42_sample49,SUCCESS,0.0018669823184609413,0.003111440921202302,9.059,4.291,0.198,0.347,1.756,2.311,0.375,0.375,0.488
seed42_sample50,SUCCESS,0.0021925647743046284,0.0034485587384551764,2.455,0.515,0.128,0.335,2.623,5.496,0.355,0.355,0.473
seed42_sample51,SUCCESS,0.00211496208794415,0.00299042253755033,6.434,1.758,0.117,0.239,2.048,3.315,0.249,0.249,0.328
