# schema_version,2
# source_job_collection_uid,lhs_lognormal_real_50_high
# source_job_collection_title,lhs_lognormal_real_50_high
# source_function_uid,
# source_function_title,lhs_lognormal_real_50_high
# source_description,Local import generated from matching JSON input and output files; conductivities are inputs and pair currents plus TI metrics are outputs
source_job_uid,status,input__bone_cancellous,input__bone_cortical,input__csf,input__fat,input__grey_matter,input__white_matter,output__pair_1_current,output__pair_2_current,output__collateral_50target,output__collateral_95target,output__mean_nontarget,output__mean_target,output__selectivity_mean,output__selectivity_rms,output__strength,output__threshold_50target,output__threshold_95target
seed42_sample02,SUCCESS,0.03063,0.003086,1.762737,0.047786,0.348025,0.156816,0.00155279,0.00215743,5.633,1.923,0.178,0.366,2.051,3.378,0.391,0.391,0.507
seed42_sample03,SUCCESS,0.08895,0.007562,1.894619,0.076069,0.340255,0.354538,0.00203386,0.00290445,3.387,0.37,0.155,0.375,2.423,4.802,0.399,0.399,0.526
seed42_sample04,SUCCESS,0.053535,0.006085,2.59709,0.160041,0.236594,0.164815,0.00206286,0.00323184,5.541,1.38,0.183,0.408,2.232,3.927,0.443,0.443,0.584
seed42_sample05,SUCCESS,0.077453,0.002391,1.823168,0.039421,0.260571,0.313104,0.001471,0.00198212,2.871,0.515,0.157,0.386,2.453,5.005,0.413,0.413,0.54
seed42_sample06,SUCCESS,0.155177,0.006558,1.365305,0.029726,0.168595,0.181312,0.00175894,0.0021088,3.632,0.551,0.255,0.637,2.499,4.963,0.693,0.693,0.903
seed42_sample07,SUCCESS,0.148002,0.006823,1.543598,0.042297,0.430226,0.495766,0.00189609,0.00243615,3.019,0.302,0.138,0.337,2.451,4.947,0.351,0.351,0.464
seed42_sample08,SUCCESS,0.071618,0.004875,1.318529,0.078444,0.3099,0.179224,0.00181196,0.00266283,4.786,1.087,0.199,0.425,2.135,3.772,0.453,0.453,0.589
seed42_sample09,SUCCESS,0.023772,0.005291,1.580291,0.093293,0.48091,0.216246,0.00186551,0.00285277,6.01,1.47,0.156,0.314,2.011,3.3,0.326,0.326,0.435
seed42_sample10,SUCCESS,0.12337,0.00523,1.152041,0.095792,0.506375,0.276221,0.00192124,0.00289129,4.906,0.897,0.151,0.309,2.043,3.532,0.317,0.317,0.42
seed42_sample11,SUCCESS,0.028264,0.007103,2.282018,0.041046,0.470816,0.32812,0.00185133,0.00240641,4.197,0.82,0.139,0.323,2.319,4.308,0.34,0.34,0.449
seed42_sample12,SUCCESS,0.032004,0.003722,1.190418,0.024795,0.229973,0.196533,0.00150801,0.00185672,3.353,0.549,0.226,0.543,2.405,4.745,0.587,0.587,0.754
seed42_sample13,SUCCESS,0.038803,0.004193,1.608834,0.209779,0.73466,0.262208,0.00199386,0.00328509,7.619,2.221,0.115,0.208,1.808,2.704,0.208,0.208,0.281
seed42_sample14,SUCCESS,0.068958,0.00718,1.435725,0.064707,0.160475,0.292101,0.00191483,0.00268042,2.772,0.553,0.222,0.59,2.66,5.566,0.642,0.642,0.849
seed42_sample15,SUCCESS,0.03939,0.00741,1.935151,0.050316,0.291606,0.224451,0.00189331,0.00258328,4.246,0.818,0.186,0.436,2.352,4.412,0.469,0.469,0.615
seed42_sample16,SUCCESS,0.04357,0.00551,2.107968,0.119703,0.403485,0.319357,0.00196174,0.00306328,3.813,0.535,0.14,0.316,2.26,4.253,0.333,0.333,0.444
seed42_sample17,SUCCESS,0.095784,0.005835,1.992515,0.089471,0.193335,0.489019,0.00192997,0.00286079,2.612,0.676,0.163,0.444,2.726,5.745,0.478,0.478,0.643
seed42_sample18,SUCCESS,0.045455,0.003373,2.028354,0.052422,0.180951,0.12527,0.00159272,0.00222977,5.138,1.528,0.225,0.509,2.267,4.039,0.557,0.557,0.729
seed42_sample19,SUCCESS,0.021828,0.002749,2.190491,0.047168,0.200299,0.245986,0.00150462,0.00210297,3.345,0.678,0.177,0.446,2.516,5.052,0.483,0.483,0.636
seed42_sample20,SUCCESS,0.102645,0.006719,3.052362,0.06279,0.441275,0.612587,0.00196627,0.00276009,2.887,0.416,0.109,0.278,2.56,5.255,0.293,0.293,0.395
seed42_sample21,SUCCESS,0.034624,0.00466,1.405752,0.043827,0.368858,0.238657,0.00168228,0.00229631,4.083,0.815,0.176,0.392,2.23,4.115,0.414,0.414,0.544
seed42_sample22,SUCCESS,0.059882,0.002642,2.766858,0.139847,0.575293,0.120369,0.00172617,0.00270491,11.538,5.555,0.127,0.203,1.6,1.861,0.21,0.21,0.278
seed42_sample23,SUCCESS,0.027428,0.00508,2.259051,0.131083,0.207269,0.417996,0.0019159,0.00300267,2.77,0.616,0.157,0.416,2.653,5.533,0.448,0.448,0.603
seed42_sample24,SUCCESS,0.011553,0.00796,2.052896,0.026414,0.590554,0.711118,0.0017887,0.002202,3.189,0.313,0.107,0.27,2.531,5.124,0.278,0.278,0.379
seed42_sample25,SUCCESS,0.062957,0.005407,1.738275,0.03448,0.32749,0.138348,0.0017071,0.00218858,6.313,2.356,0.205,0.421,2.055,3.269,0.452,0.452,0.583
seed42_sample26,SUCCESS,0.067635,0.002997,2.206324,0.028717,0.12801,0.214197,0.00148053,0.0018809,3.434,0.848,0.216,0.574,2.656,5.314,0.624,0.624,0.844
seed42_sample27,SUCCESS,0.050571,0.003212,1.236323,0.102537,0.268082,0.379001,0.00170975,0.00262203,2.34,0.341,0.161,0.393,2.444,5.089,0.418,0.418,0.551
seed42_sample28,SUCCESS,0.021981,0.005958,1.6811,0.177663,0.539336,0.291616,0.00207547,0.00336861,5.409,0.994,0.134,0.274,2.048,3.503,0.282,0.282,0.377
seed42_sample29,SUCCESS,0.175764,0.003422,1.857708,0.07105,0.381352,0.104155,0.00170006,0.00244998,8.749,4.159,0.185,0.326,1.762,2.333,0.346,0.346,0.448
seed42_sample30,SUCCESS,0.114247,0.003628,1.657614,0.051205,0.64677,0.450941,0.00166684,0.00230613,3.688,0.575,0.111,0.24,2.162,3.968,0.244,0.244,0.326
seed42_sample31,SUCCESS,0.093944,0.008832,2.895957,0.059324,0.104592,0.249858,0.00200051,0.00272725,3.744,0.892,0.215,0.608,2.823,5.554,0.656,0.656,0.945
seed42_sample32,SUCCESS,0.02595,0.004978,2.460333,0.171164,0.319297,0.511794,0.00198649,0.00321849,2.722,0.472,0.124,0.313,2.522,5.202,0.332,0.332,0.446
seed42_sample33,SUCCESS,0.133431,0.004812,1.206055,0.058011,0.242781,0.470835,0.00177749,0.00248593,2.257,0.443,0.171,0.446,2.614,5.579,0.475,0.475,0.624
seed42_sample34,SUCCESS,0.112847,0.008635,1.277602,0.113447,0.220931,0.341325,0.00216896,0.00323289,2.694,0.45,0.192,0.484,2.514,5.162,0.522,0.522,0.677
seed42_sample35,SUCCESS,0.060718,0.002497,1.566648,0.036883,0.329959,0.376594,0.00147119,0.00197169,2.742,0.405,0.145,0.35,2.418,4.937,0.369,0.369,0.487
seed42_sample36,SUCCESS,0.017478,0.001914,2.420992,0.028039,0.461022,0.630643,0.00136069,0.00176227,2.764,0.521,0.095,0.233,2.458,5.013,0.243,0.243,0.326
seed42_sample37,SUCCESS,0.013287,0.005687,1.980993,0.031654,0.36207,0.194044,0.00166933,0.00211378,5.248,1.509,0.18,0.399,2.222,3.859,0.426,0.426,0.555
seed42_sample38,SUCCESS,0.046553,0.003972,1.518257,0.08251,0.377587,0.279645,0.00174392,0.00262334,3.633,0.545,0.156,0.347,2.224,4.188,0.365,0.365,0.484
seed42_sample39,SUCCESS,0.017711,0.003826,1.889359,0.104862,0.775889,0.41018,0.00176375,0.0027679,5.389,0.944,0.1,0.202,2.015,3.424,0.203,0.203,0.278
seed42_sample40,SUCCESS,0.032414,0.004306,1.332144,0.034631,0.285406,0.790888,0.00161691,0.00212438,2.351,0.632,0.137,0.379,2.761,5.923,0.398,0.398,0.53
seed42_sample41,SUCCESS,0.041522,0.004488,1.394759,0.121011,0.298788,0.364946,0.00185997,0.00289312,2.721,0.316,0.16,0.386,2.409,4.908,0.409,0.409,0.541
seed42_sample42,SUCCESS,0.006563,0.004413,2.548423,0.068483,0.697793,0.397588,0.00170149,0.00253003,4.908,1.013,0.103,0.222,2.15,3.778,0.228,0.228,0.308
seed42_sample43,SUCCESS,0.019464,0.006118,2.689516,0.032353,0.547963,0.434951,0.00174032,0.00221936,3.729,0.595,0.117,0.278,2.381,4.547,0.29,0.29,0.389
seed42_sample44,SUCCESS,0.037148,0.00626,2.344785,0.060437,0.249783,0.269375,0.00185299,0.00261872,3.63,0.542,0.175,0.437,2.506,4.966,0.471,0.471,0.625
seed42_sample45,SUCCESS,0.086315,0.006442,1.47716,0.044227,0.274426,0.551304,0.00184061,0.00244579,2.366,0.476,0.156,0.419,2.68,5.718,0.445,0.445,0.588
seed42_sample46,SUCCESS,0.080983,0.003557,2.12838,0.056011,0.51096,0.301196,0.00166103,0.00233301,4.507,1.008,0.128,0.274,2.14,3.809,0.285,0.285,0.377
seed42_sample47,SUCCESS,0.056329,0.008427,1.631728,0.084023,0.449636,0.233829,0.00209931,0.0030342,5.769,1.271,0.163,0.341,2.097,3.554,0.357,0.357,0.468
seed42_sample48,SUCCESS,0.015385,0.004076,1.495843,0.025762,0.677475,0.20724,0.0015443,0.00190752,7.402,2.918,0.144,0.273,1.892,2.779,0.277,0.277,0.367
seed42_sample49,SUCCESS,0.008931,0.004578,1.717118,0.150883,0.396622,0.153317,0.00187055,0.0030109,6.857,2.435,0.17,0.329,1.936,2.982,0.348,0.348,0.458
seed42_sample50,SUCCESS,0.051402,0.008143,1.796235,0.074363,0.418597,0.582907,0.00206251,0.00296334,2.785,0.327,0.128,0.32,2.512,5.145,0.335,0.335,0.448
seed42_sample51,SUCCESS,0.191365,0.007712,2.789736,0.037208,0.621505,0.333097,0.00195929,0.00243287,5.547,1.311,0.119,0.257,2.162,3.709,0.267,0.267,0.35
